Region,Forecasted_Cases
Andaman and Nicobar Islands,720.0
Andhra Pradesh,159180.0
Arunachal Pradesh,1763.0
Assam,43088.0
Bihar,57230.0
Chandigarh,1120.0
Chhattisgarh,9698.0
Dadra and Nagar Haveli and Daman and Diu,1183.0
Delhi,137810.0
Goa,6425.0
Gujarat,63592.0
Haryana,36512.0
Himachal Pradesh,2702.0
India,1804151.0
Jammu and Kashmir,21488.0
Jharkhand,12178.0
Karnataka,134677.0
Kerala,25344.0
Ladakh,1509.0
Madhya Pradesh,33407.0
Maharashtra,441301.0
Manipur,2844.0
Meghalaya,876.0
Mizoram,481.0
Nagaland,1928.0
Odisha,34990.0
Puducherry,3733.0
Punjab,17941.0
Rajasthan,43623.0
Sikkim,675.0
State assignment pending,-266.0
Tamil Nadu,257616.0
Telangana,65319.0
Tripura,5468.0
Uttar Pradesh,93193.0
Uttarakhand,7661.0
West Bengal,75350.0
World,17629698.0
